dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,xor,3,3,0
public_v1,O1,p00033,llvm_default_opt_boundary_3,True,zext,4,4,0
public_v1,O1,p00033,custom_storage_delift,False,add,46,46,0
public_v1,O1,p00033,custom_storage_delift,False,alloca,13,13,0
public_v1,O1,p00033,custom_storage_delift,False,and,3,3,0
public_v1,O1,p00033,custom_storage_delift,False,br,77,77,0
public_v1,O1,p00033,custom_storage_delift,False,call,18,18,0
public_v1,O1,p00033,custom_storage_delift,False,fcmp,1,1,0
public_v1,O1,p00033,custom_storage_delift,False,fptosi,1,1,0
public_v1,O1,p00033,custom_storage_delift,False,getelementptr,66,66,0
public_v1,O1,p00033,custom_storage_delift,False,icmp,20,20,0
public_v1,O1,p00033,custom_storage_delift,False,inttoptr,1,1,0
public_v1,O1,p00033,custom_storage_delift,False,load,81,81,0
public_v1,O1,p00033,custom_storage_delift,False,lshr,2,2,0
public_v1,O1,p00033,custom_storage_delift,False,mul,10,10,0
public_v1,O1,p00033,custom_storage_delift,False,phi,6,6,0
