experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p02950,F2,0,5,1517349,7406,1524755,,411.0266320705414,,0.24295830726623535,24.576499462127686,435.9542164802551,,,,2,0,1,7,,
experiment_20260821_162746,p02950,F3,0,1,113753,806,114559,,59.821497440338135,,0.06999588012695312,2.3821871280670166,62.29195189476013,,,,1,0,0,0,,
experiment_20260821_162746,p03006,B1,0,1,88696,32142,120838,,69.39699864387512,,0.0,0.0,69.45679235458374,,,,0,0,0,0,,
experiment_20260821_162746,p03006,B2,0,1,153199,685,153884,,48.01865315437317,,0.16389942169189453,10.397638320922852,58.622793436050415,,,,1,0,0,0,,
experiment_20260821_162746,p03006,F1,0,5,1292751,11366,1304117,,423.6949186325073,,0.06754827499389648,118.9446771144867,542.7551910877228,,,,1,0,0,0,,
experiment_20260821_162746,p03006,F2,0,5,3916148,12154,3928302,,513.6026339530945,,0.08162188529968262,27.138562202453613,540.862654209137,,,,1,0,0,0,,
experiment_20260821_162746,p03006,F3,0,1,257393,2554,259947,,89.51535868644714,,0.0,0.0,89.51896357536316,,,,0,0,0,0,,
experiment_20260821_162746,p03111,B1,0,1,93818,4818,98636,,55.78768301010132,,0.1539442539215088,14.999733924865723,70.96887731552124,,,,1,0,0,0,,
experiment_20260821_162746,p03111,B2,0,1,203739,2559,206298,,59.422950744628906,,0.0,0.0,59.4264235496521,,,,0,0,0,0,,
experiment_20260821_162746,p03111,F1,0,2,311832,1236,313068,,63.56933331489563,,0.17169189453125,180.41492366790771,244.1986439228058,,,,2,0,1,7,,
experiment_20260821_162746,p03111,F2,0,5,4144871,8334,4153205,,647.2796335220337,,0.14262747764587402,115.91819667816162,763.3905613422394,,,,2,0,1,7,,
experiment_20260821_162746,p03111,F3,0,1,193927,2550,196477,,54.17067575454712,,0.0,0.0,54.1889488697052,,,,0,0,0,0,,
experiment_20260821_162746,p03142,B1,0,1,146895,23930,170825,,81.70664119720459,,0.0,0.0,81.72235488891602,,,,0,0,0,0,,
experiment_20260821_162746,p03142,B2,0,1,264082,1335,265417,,39.47384762763977,,0.08623504638671875,3.3628857135772705,42.9465274810791,,,,1,0,0,0,,
experiment_20260821_162746,p03142,F1,0,1,260936,808,261744,,75.98978281021118,,0.06901264190673828,2.037818670272827,78.11571431159973,,,,1,0,0,0,,
experiment_20260821_162746,p03142,F2,0,1,0,0,0,,58.39695334434509,,0.0,0.0,58.40709829330444,,,,0,0,0,0,,
experiment_20260821_162746,p03142,F3,0,1,234319,803,235122,,59.98778796195984,,0.09372234344482422,2.071547031402588,62.17238235473633,,,,1,0,0,0,,
experiment_20260821_162746,p03199,B1,0,1,43148,26464,69612,,40.0772750377655,,0.0,0.0,40.09874415397644,,,,0,0,0,0,,
experiment_20260821_162746,p03199,B2,0,1,102895,1030,103925,,61.20019602775574,,0.15325236320495605,6.970421552658081,68.35846424102783,,,,1,0,0,0,,
experiment_20260821_162746,p03199,F1,0,4,638120,7354,645474,,374.0354754924774,,0.2904801368713379,13.51537299156189,387.91188883781433,,,,3,0,2,14,,
experiment_20260821_162746,p03199,F2,0,5,2283493,10235,2293728,,637.6814844608307,,0.1850295066833496,7.197551727294922,645.108715057373,,,,2,0,1,7,,
experiment_20260821_162746,p03199,F3,0,1,142097,1614,143711,,55.552166223526,,0.08770942687988281,5.077972888946533,60.73761487007141,,,,1,0,0,0,,
experiment_20260821_162746,p03261,B1,0,1,46802,38291,85093,,96.03856348991394,,0.0,0.0,96.07553124427795,,,,0,0,0,0,,
experiment_20260821_162746,p03261,B2,0,1,102668,312,102980,,18.27759861946106,,0.06387448310852051,3.313589096069336,21.67279052734375,,,,1,0,0,0,,
experiment_20260821_162746,p03261,F1,0,4,575637,5748,581385,,222.22268056869507,,0.14830827713012695,9.191350936889648,231.60434222221375,,,,2,0,1,7,,
experiment_20260821_162746,p03261,F2,0,1,647978,302,648280,,174.31406259536743,,0.06607460975646973,3.494964838027954,177.8946990966797,,,,1,0,0,0,,
experiment_20260821_162746,p03261,F3,0,1,117809,330,118139,,41.87515044212341,,0.062273502349853516,3.709707260131836,45.66537618637085,,,,1,0,0,0,,
experiment_20260821_162746,p03430,B1,0,1,19235,11095,30330,,17.348312616348267,,0.0,0.0,17.456839561462402,,,,0,0,0,0,,
experiment_20260821_162746,p03430,B2,0,1,48526,504,49030,,28.673995971679688,,0.08473563194274902,1.595947027206421,30.37353801727295,,,,1,0,0,0,,
experiment_20260821_162746,p03430,F1,0,1,71684,560,72244,,27.23749589920044,,0.06964802742004395,1.644538164138794,28.968320608139038,,,,1,0,0,0,,
experiment_20260821_162746,p03430,F2,0,5,1333509,10032,1343541,,346.54526710510254,,0.31625819206237793,5.352463483810425,352.30486011505127,,,,2,0,1,7,,
