dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
own_v1,O1,bundle_post_opt_4_custom_cleanup,sdiv,5,9,5,-4,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,sext,25,140,132,-8,2
own_v1,O1,bundle_post_opt_4_custom_cleanup,unreachable,4,5,4,-1,1
own_v1,O1,main_default_opt_1,ashr,6,12,12,0,0
own_v1,O1,main_default_opt_1,sub,17,44,44,0,0
own_v1,O1,main_default_opt_2,ashr,5,11,11,0,0
own_v1,O1,bundle_default_opt_3,ashr,5,11,11,0,0
own_v1,O1,bundle_default_opt_3,sub,17,45,45,0,0
own_v1,O1,bundle_default_opt_4,ashr,5,11,11,0,0
own_v1,O1,bundle_default_opt_4,sub,17,45,45,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,ashr,5,11,6,-5,1
own_v1,O1,bundle_post_opt_4_custom_cleanup,sub,17,45,39,-6,1
own_v1,O1,main_default_opt_1,freeze,1,3,3,0,0
own_v1,O1,main_default_opt_1,urem,3,5,5,0,0
own_v1,O1,main_default_opt_2,freeze,1,3,3,0,0
own_v1,O1,main_default_opt_2,urem,3,5,5,0,0
own_v1,O1,bundle_default_opt_3,freeze,1,3,3,0,0
own_v1,O1,bundle_default_opt_3,urem,3,5,5,0,0
own_v1,O1,bundle_default_opt_4,freeze,1,3,3,0,0
own_v1,O1,bundle_default_opt_4,urem,3,5,5,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,freeze,1,3,3,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,urem,3,5,5,0,0
own_v1,O1,main_default_opt_1,srem,4,12,12,0,0
own_v1,O1,main_default_opt_2,srem,4,12,12,0,0
own_v1,O1,bundle_default_opt_3,srem,4,12,12,0,0
own_v1,O1,bundle_default_opt_4,srem,4,12,12,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,srem,4,12,9,-3,1
own_v1,O1,main_default_opt_1,udiv,2,2,2,0,0
own_v1,O1,main_default_opt_2,udiv,2,2,2,0,0
own_v1,O1,bundle_default_opt_3,udiv,1,1,1,0,0
own_v1,O1,bundle_default_opt_4,udiv,1,1,1,0,0
own_v1,O1,bundle_post_opt_4_custom_cleanup,udiv,1,1,1,0,0
own_v1,O2,main_default_opt_1,add,40,2142,2001,-141,22
own_v1,O2,main_default_opt_1,alloca,40,240,152,-88,40
own_v1,O2,main_default_opt_1,and,40,968,928,-40,20
own_v1,O2,main_default_opt_1,br,40,1471,1458,-13,40
own_v1,O2,main_default_opt_1,call,40,1114,738,-376,40
own_v1,O2,main_default_opt_1,getelementptr,40,3586,2674,-912,40
own_v1,O2,main_default_opt_1,icmp,40,1268,1248,-20,17
